name,address,city,district,project_name,investor,price,area,bedroom,post_date,expiration_date,,,,,,,
"Căn hộ HAGL chính chủ vị trí TTTP 2Otr/m2, full nội thất, thích hợp mua ở/đầu tư","Dự án Hoàng Anh Lakeview Residence, Thanh Khê, Đà Nẵng",Đà Nẵng,Thanh Khê,Hoàng Anh Gia Lai Lake View Residence,Công ty CP Hoàng Anh Gia Lai,2.05876,93.58,2,17/12/2021,27/12/2021,,,,,,,
Quỹ hàng ngoại giao 2-3PN penthouse 225m lãi suất 0% 24 tháng giá tốt nhất dự án hỗ trợ xem thực tế,"Dự án The Matrix One, Đường Lê Quang Đạo, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,The Matrix One,Công ty Cổ phần Đầu tư Mai Linh,0,225,4,17/12/2021,27/12/2021,,,,,,,
Chính chủ - cần bán căn hộ Vinhomes Ba Son 3 phòng ngủ DT 118.5m2,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",Hồ Chí Minh,Quận 1,Vinhomes Golden River Ba Son,Tập đoàn Vingroup,17.1,118.5,3,17/12/2021,27/12/2021,,,,,,,
"Bán CC HDI Tây Hồ Residence, 3,2 tỷ/2PN 70m2, tầng cao view đẹp, full đồ ngoại nhập, Km 230 triệu","Dự án Tây Hồ Residence, 68A Đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội",Hà Nội,Tây Hồ,Tây Hồ Residence,Công ty CP Đầu tư Xây dựng Phát triển nhà số 7 Hà Nội,3.2,70,2,17/12/2021,27/12/2021,,,,,,,
Chính sách khủng mới nhất tháng 12/2021 này thực sự tạo ra cơn sốt chưa từng có tại VH West Point,"Dự án Vinhomes West Point, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,Vinhomes West Point,Tập đoàn Vingroup,0,145,4,14/12/2021,24/12/2021,,,,,,,
CẬP NHẬT CHÍNH SÁCH BERRIVER JARDIN ĐÓN NĂM MỚI MUA NHÀ TẶNG OTO HONDA HRV,"Dự án Berriver Long Biên, Long Biên, Hà Nội",Hà Nội,Long Biên,Berriver Long Biên,Công ty CP Đầu tư Xây dựng số 9 Hà Nội,0,80,3,17/12/2021,27/12/2021,,,,,,,
"Chuyên bán CH Vinhomes Central Park, CH 1-2-3-4PN giá tốt. Căn Landmark 81 giá tốt 0918328348","Dự án Vinhomes Central Park, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Vinhomes Central Park,Tập đoàn Vingroup,4.1,83,2,17/12/2021,27/12/2021,,,,,,,
"CH ở liền Marina Tower 2-3PN, DT 54m2, 60m2, 71m2, 80m2 có sổ, ngay bệnh viện quốc tế Hạnh Phúc","Dự án Marina Tower, Đường Đại Lộ 13, Phường Vĩnh Phú, Thuận An, Bình Dương",Bình Dương,Thuận An,Marina Tower,Công ty CP Đầu tư LDG,1.89,72,2,17/12/2021,27/12/2021,,,,,,,
"Cần bán lỗ gấp căn 2PN 2WC 65m2 Lovera Vista, giá 1.980 tỷ bao hết thuế phí. Đã bao gồm 102%","Dự án Lovera Vista, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh",Hồ Chí Minh,Bình Chánh,Lovera Vista,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,1.97,65,2,17/12/2021,27/12/2021,,,,,,,
Cập nhật giỏ hàng Topaz Elite mới cam kết giá tốt nhất thị trường chỉ 1.9tỷ căn 2PN. LH: 0934138748,"Dự án Topaz Elite, Phố Tạ Quang Bửu, Phường 4, Quận 8, Hồ Chí Minh",Hồ Chí Minh,Quận 8,Topaz Elite,Công ty CP Thương mại - Dịch vụ - Xây dựng - Kinh doanh Nhà Vạn Thái,2.45,78,2,17/12/2021,27/12/2021,,,,,,,
"Bán suất ngoại giao 4 phòng ngủ rẻ nhất Vinhomes West Point, DT 135m2 - 5,67 tỷ LH 0902159592","Dự án Vinhomes West Point, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",Hà Nội,Nam Từ Liêm,Vinhomes West Point,Tập đoàn Vingroup,5.67,135,4,17/12/2021,27/12/2021,,,,,,,
"Quản lý tất cả các căn hộ bán Sunrise City, Sunrise City View 1 2 3 4PN penhouse giá tốt nhất","Dự án Sunrise City, Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh",Hồ Chí Minh,Quận 7,Sunrise City,Novaland Group,4.7,125,3,17/12/2021,27/12/2021,,,,,,,
Chuyên bán 1 - 2 - 3 - 4PN Vinhomes Central Park giá tốt nhất LH 0906515755,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Vinhomes Central Park,Tập đoàn Vingroup,6.9,120,3,17/12/2021,27/12/2021,,,,,,,
"Hỗ trợ nhanh, giá tốt nhất - Căn 2PN 70m2 bán lỗ 3,650 tỷ và giỏ hàng mới nhất. LH 0903777464","Dự án Eco Green Sài Gòn, Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",Hồ Chí Minh,Quận 7,Eco Green Sài Gòn,Công ty CP Đầu tư và Xây dựng Xuân Mai,3.65,70,2,17/12/2021,27/12/2021,,,,,,,
"Trực tiếp CĐT CH The Matrix One Mỹ Đình CK 9,5% + 100tr, LS 0% nhận nhà quý I/2022 LH: 0911228183","Dự án The Matrix One, Đường Lê Quang Đạo, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",Hà Nội,Nam Từ Liêm,The Matrix One,Công ty Cổ phần Đầu tư Mai Linh,4.3,88,2,17/12/2021,27/12/2021,,,,,,,
"Căn hộ 3 phòng ngủ Bình Minh Garden chiết khấu 13%, hỗ trợ 24 tháng không lãi, giá tốt chủ đầu tư","Dự án Bình Minh Garden, Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội",Hà Nội,Long Biên,Bình Minh Garden,Cen Group,0,95,3,17/12/2021,29/12/2021,,,,,,,
